frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
580,32.29599225,119.8851849,0.0,0.0,0.0,0.0,-41.510792,0.0,0.0
581,32.296605262247255,119.88424187359756,17.229857632022412,94.72273278280196,-139.29074096679688,-956.4014892578125,-42.026454,-76.05954006826505,56.45655383076519
582,32.29711582377983,119.88345643471193,15.545042542534928,189.60256782986545,-389.3189392089844,-1729.5209350585938,-40.084127,-154.2070354251191,110.31465883133933
583,32.29757190270682,119.88275479755495,3.2373974786880666,285.17580181472243,-551.1476745605469,-2430.91015625,-40.920646,-231.3481570634758,166.74312028987333
584,32.298056357867694,119.88200949226527,3.1382499337662764,379.88290201489406,-695.8018035888672,-3180.7113647460938,-40.72011,-307.39568120683543,223.2015107893385
585,32.2985239090667,119.88129017922569,12.919609459950308,475.07112152999684,-884.7022247314453,-3895.7308349609375,-40.697192,-384.5179634845117,278.9955309131183
586,32.299083203560826,119.8804297045687,5.288805050672564,569.3995229203545,-1217.4596405029297,-4732.374084472656,-42.169694,-460.5560903882142,334.8192113786936
587,32.29963728449569,119.87957723228253,1.4713785370382801,664.1922376338094,-1248.6251220703125,-5613.4552001953125,-42.204071,-537.6501403889852,389.9790444020182
588,32.300160201803386,119.87877268922803,0.6752310093879442,760.2327213135915,-1464.6133880615234,-6412.342468261719,-42.530657,-615.8437106604688,445.74691765150055
589,32.300693925978436,119.87795150200037,3.8572979538177217,854.5592767289166,-1407.203109741211,-7276.366638183594,-41.470685,-691.8792551251827,501.57218201458454
590,32.30117872875616,119.87720557019877,3.010908187285647,949.7381511969096,-1601.4901123046875,-8018.080627441406,-41.361823,-768.9877844888251,557.3691264735535
591,32.301705807972745,119.87639457446247,2.4156749083976483,1044.451428534113,-1744.9339141845703,-8836.342651367188,-40.668544,-845.03867406887,613.8309424384497
592,32.30232302580567,119.87544486463186,15.672416545167483,1140.1022280869502,-2040.286148071289,-9772.26171875,-40.605519,-923.211656342377,668.9643698153086
593,32.30293198156132,119.87450784498382,32.031468805772725,1234.9008613740311,-2370.081008911133,-10688.9443359375,-40.015372,-1000.3099445943953,724.1271657436155
594,32.3033594960789,119.87385000132551,15.126663031989128,1329.9917469717136,-2329.0976791381836,-11380.186340332031,-40.903457,-1076.3658681843663,781.2263211263344
595,32.30396560668079,119.87291732157188,30.01402798507539,1425.6423837717605,-2508.231285095215,-12318.695495605469,-40.192989,-1154.5362675720826,836.3624891559593
596,32.304522207657875,119.87206080734444,37.33175464730662,1519.9663525469277,-2781.251304626465,-13161.564025878906,-41.384742,-1230.5657821303466,892.191441745963
597,32.30491803485239,119.87145168519118,14.808278791397331,1614.7632627242126,-2898.6683807373047,-13774.403564453125,-41.333175,-1307.6606192359468,947.3563740975223
598,32.305493678888354,119.87056583335708,25.08997797411124,1709.552502020644,-3043.1160278320312,-14670.255737304688,-37.941265,-1384.7451772156637,1002.5220951894298
599,32.305996869705666,119.86979146246793,20.539100979702518,1805.9747604906097,-3164.758544921875,-15454.168334960938,-39.241879,-1462.9461308486061,1058.930334707722
600,32.30654035375331,119.86895506623257,25.10716281415853,1900.6835813321313,-3546.767364501953,-16257.007507324219,-41.178477,-1538.989222731092,1115.396901852917
601,32.30708045373683,119.8681238601635,28.903352282022087,1995.4722198050526,-3762.690872192383,-17083.50030517578,-41.218584,-1616.0712127389852,1170.565340068657
602,32.30758889595514,119.8673413587687,27.45263720143022,2089.7937963774784,-3725.085304260254,-17903.702575683594,-41.384742,-1692.0955638026353,1226.3974536573514
603,32.308096665849675,119.86655987644139,24.100562786743474,2185.8277696432338,-3816.849609375,-18700.199462890625,-40.192989,-1770.2759905073326,1282.172358139418
604,32.30865609475282,119.86569887030224,31.950363087849052,2280.1485423100385,-3943.9274291992188,-19573.192260742188,-39.63722,-1846.2986166635528,1338.0055280546658
605,32.30894174489696,119.86474053299322,41.95110397599072,2375.3215944093463,3054916146468.172,-534534956597.6328,-40.548223,-1923.3941302085295,1393.8104952778667
606,32.30952484553134,119.86384305482649,50.138512076876,2470.501737541712,3054916146282.078,-534534957498.1992,-40.846161,-2000.4981935545802,1449.615746596828
607,32.30997280948883,119.8631535579743,40.788182983851875,2566.0613799994853,3054916146209.8906,-534534958202.4453,-40.124234,-2077.608989670407,1506.0583959347568
608,32.31051822382656,119.86231405106267,43.66789547657935,2661.2407317968136,3054916146022.328,-534534959042.46094,-38.817891,-2154.711310391547,1561.8647193163633
609,32.31111688511596,119.8613925652548,54.357413636734194,2755.252504349873,3054916145662.875,-534534959937.6211,-41.207125,-2231.7523979975376,1615.7653284925036
610,32.31161568631537,119.86062477187009,52.11519388709839,2849.9574084914557,3054916145551.922,-534534960716.46094,-41.980618,-2307.7868420179,1672.237160819117
611,32.31202396820381,119.8599963014785,40.85291952214111,2944.963769785026,3054916145761.3125,-534534961406.4961,-40.353418,-2382.7882172034588,1730.6449425872415
612,32.312651373417346,119.85903051384497,50.09547296814105,3040.3864924522277,3054916145192.375,-534534962311.02734,-38.9554,-2463.0158037736546,1782.555237249937
613,32.31311995021919,119.85830920099862,44.07976494252412,3135.476569619773,3054916145002.875,-534534963027.77344,-40.427902,-2539.0646148560336,1839.6641541924328
614,32.313630660529256,119.85752301375025,44.10722984217418,3230.5670889239154,3054916144940.0938,-534534963834.1289,-40.983671,-2615.112552078557,1896.7735911277123
615,32.31412038189257,119.85676912201308,39.22014068005686,3325.822776888642,3054916144893.5312,-534534964609.7383,-40.485198,-2693.248571127886,1951.2840073625557
616,32.31469779003319,119.85588022406412,45.98402772230104,3420.9915575477626,3054916144610.6875,-534534965484.34766,-42.805677,-2770.3345365368295,2007.0948638478294
617,32.315220170430706,119.85507602185862,47.39100192654656,3516.080806297213,3054916144676.4062,-534534966331.8867,-41.499333,-2846.379858900793,2064.205884899944
618,32.31572629386498,119.85429683128035,44.065584737291395,3610.562457928786,3054916144478.1562,-534534967107.22656,-39.121558,-2924.4793959939852,2117.4469355833717
619,32.316253732242465,119.8534848093118,46.13530531842517,3705.651100633964,3054916144151.5625,-534534967894.23047,-41.527981,-3000.5230135186575,2174.560122179799
