frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
390,32.30042695,119.8866631,0.0,0.0,0.0,0.0,-40.817513,0.0,0.0
391,32.3010241071032,119.88574445180103,14.697950044741606,94.3287865102762,-207.47122192382812,-919.0845336914062,-41.476415,-76.03982499463018,55.81993352994323
392,32.30151166385664,119.884994393403,9.155179558166648,189.0477230707575,-303.4832229614258,-1682.3301391601562,-41.619654,-152.09590893704444,112.27589270565659
393,32.30190555561723,119.884388418921,14.787313025828807,284.6927685879631,-491.7926254272461,-2279.575439453125,-41.522251,-230.2739955431316,167.40328390710056
394,32.302310011565844,119.883766182404,35.696189706591106,379.40807668843763,-683.7861557006836,-2893.0823364257812,-40.290392,-306.32834570563864,223.86029856512323
395,32.30280662076453,119.88300215887419,40.62287185270773,474.9738154486879,-927.3286666870117,-3645.0142211914062,-41.476415,-383.45565219945274,280.2889369172044
396,32.3033222420906,119.88220886974439,40.44087043145543,568.9117356006818,-945.3014068603516,-4466.840637207031,-41.035237,-459.4740727508906,335.47598926583305
397,32.30384670419116,119.88140196245604,40.700159637962834,664.9473256085956,-1074.9303741455078,-5283.2822265625,-40.85762,-537.6658041838091,391.24216138524935
398,32.30448097687951,119.88042608462774,19.702042070185644,759.7364902472528,-1414.5445709228516,-6238.6851806640625,-41.155558,-614.7563151755603,446.4013973600231
399,32.30504625587006,119.87955633841611,11.287133225727434,854.533338863004,-1628.8962860107422,-7105.626281738281,-43.424471,-691.8553855877835,501.56091620214283
400,32.305641700868904,119.87864015741214,1.830251454163186,950.183289489862,-1724.4671478271484,-8041.626159667969,-41.413389,-770.0273849284276,556.6921142661013
401,32.30608051190707,119.87796496737909,13.246169481036004,1045.2719379135478,-1851.5933990478516,-8721.493713378906,-41.384742,-846.0833303930704,613.7885810444131
402,32.306578883455096,119.87719811858705,16.198783216998923,1139.2086463113749,-1992.0686492919922,-9494.33056640625,-42.198342,-922.0966423181817,668.9799115490168
403,32.30730637290702,119.87616707207461,14.346954223874612,1235.165295215158,-520582194222.9219,91089025963.68555,-40.897727,-999.2434610596392,726.0480783209205
404,32.3078733104791,119.87529467829864,22.753826310254606,1330.4254069941296,-520582194350.5469,91089025078.87305,-41.304527,-1077.3949133064598,780.5459399400279
405,32.308360362161224,119.87454519599882,16.39251656910932,1425.5136518449374,-520582194484.61285,91089024323.00415,-39.304905,-1153.447375179967,837.6445094947703
406,32.30885250964828,119.87378785757234,11.875184830411415,1519.8354594961986,-520582194801.7141,91089023591.00159,-40.250285,-1229.4742791091558,893.4723392198794
407,32.309283992483046,119.87312386052959,4.89449828072384,1614.628866377878,-520582194904.44824,91089022918.55444,-38.640274,-1306.566442045616,948.6361308009364
408,32.30986433320251,119.87223077240388,7.251084872943657,1710.741232752452,-520582195260.1095,91089022052.16528,-39.63722,-1385.7882060129195,1003.1084754476324
409,32.31041566872198,119.87138230153248,12.199816242995254,1804.9823688745466,-520582195335.5764,91089021183.15265,-39.385119,-1460.772874817485,1060.2376904003322
410,32.310907589391384,119.87062525082412,7.549570763693689,1899.7675014883064,-520582195389.14417,91089020405.37366,-38.731947,-1537.8530299952254,1115.4033431210555
411,32.31147563917944,119.86975102150627,15.796765755763424,1994.9392596586597,-520582195685.8989,91089019548.3194,-39.018426,-1614.9493541459087,1171.2050346848555
412,32.312024574232844,119.86890619120253,20.509652056957428,2090.583912216825,-520582195781.0898,91089018686.57501,-38.508493,-1693.1109143374488,1226.3427440039814
413,32.31251496462874,119.86815144769263,14.666156650177335,2185.5983067441293,-520582195921.9468,91089017926.4967,-40.72584,-1768.1261693371926,1284.7450360860676
414,32.31302522979234,119.86736610012505,13.237887426685598,2280.4671767983273,-520582196173.3583,91089017153.95209,-39.356471,-1846.2519493161235,1338.6128208339214
415,32.31364202580242,119.86641677014092,31.325825029590984,2374.778278021994,-520582196320.49475,91089016192.67987,-40.301851,-1922.2617172312457,1394.4467577617615
416,32.314213240514626,119.8655375751776,39.61702060477672,2470.807896478451,-520582196562.29004,91089015320.9021,-39.837755,-2000.4368058340624,1450.2221371792257
417,32.31467892091896,119.86482080050465,29.889586052745837,2565.511916375943,-520582196557.47906,91089014574.84894,-39.557006,-2076.471239117789,1506.6912710252218
418,32.315266306102245,119.86391667922535,41.95315304191465,2660.688405835667,-520582196800.0767,91089013677.31805,-40.639896,-2153.570900022518,1562.4964548838325
419,32.31579230270531,119.86310703136405,43.669534635231074,2754.997445918748,-520582196904.72363,91089012853.88,-40.307581,-2229.5771901845,1618.3313875803724
420,32.31625751904008,119.86239092641719,34.25291795743313,2849.3992585139767,-520582196984.09595,91089012123.27948,-39.90651,-2306.641142683802,1672.8666334464215
421,32.31683283123659,119.86150533333846,42.47856655401543,2946.2006148966407,-520582197225.74854,91089011244.87872,-39.803378,-2384.8458315536845,1729.9157271203585
422,32.317363212983416,119.86068888507384,45.79276778183725,3039.742778581455,-520582197318.37305,91089010412.29688,-40.055479,-2460.825023095589,1784.482100118883
423,32.31789171123139,119.85987531920345,46.72569496124694,3135.2967240368725,-520582197371.1108,91089009575.74243,-38.857998,-2537.9279105070746,1840.9257097519003
424,32.31850060991811,119.85893796452721,62.706591973752715,3230.5498584389234,-520582197770.2866,91089008671.1278,-37.60895,-2616.062060017837,1895.4344319957308
425,32.31891596876047,119.85829853728058,43.417272477601095,3325.6372147817233,-520582197732.2033,91089007999.73236,-38.903834,-2692.106537213549,1952.5432841894217
426,32.31942263539219,119.85751853139186,40.839532151858236,3420.7249230950583,-520582197849.07007,91089007209.31586,-39.413767,-2768.1501404257724,2009.65265644202
427,32.32002485811851,119.85659139800383,56.806815702330994,3514.730241311572,-520582198213.6499,91089006309.3067,-39.992454,-2845.1817289483733,2063.5575103322044
428,32.32043644593761,119.85595773803503,36.50869946962859,3610.204233840301,-520582198261.3381,91089005658.93713,-40.101316,-2921.2405520261964,2121.303431203589
429,32.32094909809711,119.85516847008255,34.46400842671896,3705.8413966562516,-520582198495.5652,91089004879.45532,-39.694516,-2999.3873193773907,2176.4503590776585
430,32.32149711736178,119.85432473405909,39.37446433147546,3801.0057465058403,-520582198673.76025,91089004033.55865,-39.430955,-3076.467145312112,2232.2622132683173
